fecha,hora,latitud,longitud,profundidad,magnitud,intensidad,referencia,reporte_acelerometrico_pdf
,,-13.79,-76.48,46,4.7,"II-III Pisco, Chincha; II Cañete",32 km al Oeste-SO de Pisco-Ica,
,,-17,-72.17,59,3.9,II-III Mollendo; II Quilca,18 km al Oeste de Mollendo-Arequipa,
,,-14.59,-73.65,19,3.5,III Pampamarca; II Puquio,10 km al Oeste-SO de Pampamarca-Ayacucho,
,,-10.75,-74.7,37,6.1,"V Satipo, Pto Bermudez, Villa Rica; IV La Merced, Atalaya, Oxapampa; III-IV Pto Inca, Huancayo, Pozuzo; III La Oroya, Cerro Pasco; II Huanuco, Huanta",56 km al Norte de Satipo-Junín,
,,-17.03,-72.43,24,3.7,II Mollendo,35 km al Sur de Quilca-Arequipa,
,,-10.81,-74.71,27,4.1,II-III Satipo; II La Merced,50 km al Norte de Satipo-Junín,
,,-10.84,-75.38,8,4.7,"IV Villa Rica; III-IV La Merced, Oxapampa; III satipo, Pto Bermudez; II Tarma, Pozuzo",14 km al SO de Villa Rica-Pasco,
,,-10.85,-75.37,6,4.6,"IV Villa Rica, La Merced, Oxapampa; III Tarma, Pozuzo, Pto Bermudez; II Satipo",15 km al Sur-SO de Villa Rica-Pasco,
,,-13.33,-76.57,60,3.9,"II Tambo de Mora, Chincha",34 km al Sur-Oeste de San Vicente de Cañete-Lima,
,,-10.98,-79.33,31,5.1,II-III Huarmey,164 km. Suroeste de Huarmey-Ancash,
,,-13.83,-75.9,84,5.3,"IV Tinguiña, Ica, Pisco; III-IV Chincha Alta; III Cañete, Lunahuana; II-III Palpa, Nazca, Huaytara, Chilca, Lima; II San juan Marcona, Lomas, Chosica",30 km al Nor-Oeste de La Tinguiña-Ica,
,,-16.36,-71.88,14,3.5,II Vitor,11 km Norte-NE de Vitor-Arequipa,
,,-10.65,-75.2,37,3.9,II Oxapampa,14 km NE de Villa Rica- Pasco,
,,-12.22,-76.98,71,4,II Lima,20 km. Sur-SE de Lima-Lima,
,,-15.36,-74.14,88,5,"II-III Pullo, Chala, Yauca, Atico; II Nazca, Coracora, Caraveli, Puquio",38 km al Oeste-SO de Pullo-Ayacucho,
,,-6.5,-81.11,11,4.4,II Sechura,111 km al Sur-SO de Sechura-Piura,
,,-15.67,-71.88,10,4.3,"IV Pinchollo, Madrigal, Maca, Lari,  Cabanaconde; III Huambo; II Chivay",7 km al Oeste-SO de Pinchollo-Arequipa,
,,-17.64,-69.95,8,3.6,II Tarata,21 km al Sur-SE de Tarata-Tacna,
,,-13.51,-70.36,8,5.2,"VI Ollachea, Ayapata, Usicayo, Ajoyani; V San Gaban; IV Macusani; II Sandia",12 km al Este-SE de San Gaban-Puno,
,,-9.33,-76.89,139,4.2,II Huanuco,25 km al Norte-NO de Llata-Huánuco,
,,-12.19,-76.88,56,3.8,II Lima,23 Km al SE de Lima-Lima,
,,-8.94,-78.61,91,4.7,"III Chimbote; II-III Samanco; II Salaverry, Trujillo, Huallanca",14 Km al Norte de Chimbote-Ancash,
,,-19.39,-70.38,66,5.3,"III Tacna, II Ilo, Moquegua, Arequipa",155 km al Sur de Tacna-Tacna,
,,-16.78,-70.64,10,3.6,"II Carumas, Calacoa",6 km al Este-NE de Carumas-Moquegua,
,,-4.54,-79.65,25,4,II Ayabaca,12 km al Norte-NE de Ayabaca-Piura,
,,-12.42,-76.66,92,4.1,II-III Chilca; II Lima,13 km al NE de Chilca-Lima,
,,-15.65,-72.16,12,3.5,II Choco,12 km al Este-NE de Choco-Arequipa,
,,-11.9,-76.33,11,4.8,"V Matucana; III-IV Chosica, Lima",9 km al SE de Matucana-Lima,
,,-11.9,-76.33,13,4.1,"III Matucana; II Chosica, Lima",10 km SE de Matucana-Lima,
,,-11.9,-76.33,10,4,"II-III Matucana, Chosica, Lima",9 km al SE de Matucana-Lima,
,,-11.9,-76.33,12,3.5,II Matucana,10 km al SE de Matucana-Lima,
,,-11.89,-76.32,16,3.4,II Matucana,10 km al Este-SE de Matucana-Lima,
,,-11.86,-76.35,10,3.3,II Matucana,5 km al Este-SE de Matucana-Lima,
,,-11.89,-76.32,13,3.3,II Matucana,9 km al SE de Matucana-Lima,
,,-11.9,-76.33,17,3.5,II Matucana,9 km al SE de Matucana-Lima,
,,-11.9,-76.32,14,3.5,II Matucana,10 km al SE de Matucana-Lima,
,,-11.9,-76.33,12,3.4,II Matucana,9 km SE de Matucana-Lima,
