ANIO;NOM_MES;NOM_DPTO;COD_TIPO;TOTAL_PAGANTES
2007;Julio;Cusco;1;134
2007;Julio;Cusco;2;154
2007;Agosto;Cusco;0;6
2007;Agosto;Cusco;1;151
2007;Agosto;Cusco;2;157
2007;Setiembre;Cusco;0;7
2007;Setiembre;Cusco;1;103
2007;Setiembre;Cusco;2;110
2007;Octubre;Cusco;0;15
2007;Octubre;Cusco;1;130
2007;Octubre;Cusco;2;145
2007;Noviembre;Cusco;0;2
2007;Noviembre;Cusco;1;34
2007;Noviembre;Cusco;2;36
2007;Diciembre;Cusco;0;3
2007;Diciembre;Cusco;1;94
2007;Diciembre;Cusco;2;97
2007;Enero;Cusco;0;55
2007;Enero;Cusco;1;75
2007;Enero;Cusco;2;130
2007;Febrero;Cusco;0;68
2007;Febrero;Cusco;1;58
2007;Febrero;Cusco;2;126
2007;Marzo;Cusco;0;94
2007;Marzo;Cusco;1;122
2007;Marzo;Cusco;2;216
2007;Abril;Cusco;0;399
2007;Abril;Cusco;1;195
2007;Abril;Cusco;2;594
2007;Mayo;Cusco;0;235
2007;Mayo;Cusco;1;214
2007;Mayo;Cusco;2;449
2007;Junio;Cusco;0;436
2007;Junio;Cusco;1;375
2007;Junio;Cusco;2;811
2007;Julio;Cusco;0;503
2007;Julio;Cusco;1;679
2007;Julio;Cusco;2;1,182
2007;Agosto;Cusco;0;653
2007;Agosto;Cusco;1;699
2007;Agosto;Cusco;2;1,352
2007;Setiembre;Cusco;0;336
2007;Setiembre;Cusco;1;384
2007;Setiembre;Cusco;2;720
2007;Octubre;Cusco;0;398
2007;Octubre;Cusco;1;295
2007;Octubre;Cusco;2;693
2007;Noviembre;Cusco;0;0
2007;Noviembre;Cusco;1;0
2007;Noviembre;Cusco;2;0
2007;Diciembre;Cusco;0;75
2007;Diciembre;Cusco;1;104
2007;Diciembre;Cusco;2;179
2007;Enero;Cusco;0;27
2007;Enero;Cusco;1;38
2007;Enero;Cusco;2;65
2007;Febrero;Cusco;0;27
2007;Febrero;Cusco;1;70
2007;Febrero;Cusco;2;97
2007;Marzo;Cusco;0;26
2007;Marzo;Cusco;1;71
2007;Marzo;Cusco;2;97
2007;Abril;Cusco;0;18
2007;Abril;Cusco;1;27
2007;Abril;Cusco;2;45
2007;Mayo;Cusco;0;10
2007;Mayo;Cusco;1;23
2007;Mayo;Cusco;2;33
2007;Junio;Cusco;0;6
2007;Junio;Cusco;1;25
2007;Junio;Cusco;2;31
2007;Julio;Cusco;0;9
2007;Julio;Cusco;1;61
2007;Julio;Cusco;2;70
2007;Agosto;Cusco;0;4
2007;Agosto;Cusco;1;25
2007;Agosto;Cusco;2;29
2007;Setiembre;Cusco;0;2
